url,type,title,norm_title,answer
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,create a task,"['creat', 'task']","Select a Folder or Project from the left-hand Folder tree (this is where your task will be created). Click the green plus sign in the Workspace's upper left-hand corner and select ""Task"". Type a task name and press ""Enter"". Your task is created and you can begin adding task attributes from the Task View (assignee, due dates, and more) or right-click on a task from the List View to access quick edit options."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,assign a task,"['assign', 'task']","Choose the names of people to whom you want to assign a task, using the drop-down menu. Or you can type the first letters of the name, and Wrike will suggest an appropriate list of people. You can assign the task to as many people as you need. If the right name is not in the drop-down menu, you can invite that person to join Wrike and grant him or her a license. Read more about how to invite a user to Wrike When you create a task and assign it to a person, this person receives an automatic email notification. When the start date of the task comes, Wrike will remind the assignee about the task by including it in the interactive, daily to-do email list and by showing the task on his/her Dashboard. If the task is overdue, Wrike also will remind the responsible team member about it. Last, but not least, if somebody changes a task that you created, you will get an email notification about the change. The task changes history is shown in the comments under the task description. When you assign someone to a task, the task is automatically shared with that person (if it was not shared with them before)."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,schedule a task,"['schedul', 'task']","In the List view, you can set or change the start and due dates of a task by clicking on the calendar icon. Alternatively, if you've clicked on the task to view its details, you can change the task dates by clicking the “Set date” button: Set the start date and due date for your task and/or specify duration in hours, minutes or days to build a more precise schedule. The predefined date options — today and tomorrow — support quick action choice. Click on them to set the date and close the date picker. When you schedule a task, note that the “Working days only” option is checked by default , meaning that only all weekdays are counted when calculating the end date of a task, based on its duration and start date. If you do want weekends to be included into the calculation of the end date, please deselect the “Working days only” option. Click on “Clear dates” option to deselect dates in “Start date” and “Due date” fields. Users on Wrike for Professional Services accounts or Business and Enterprise accounts with the Wrike Resource add-on can enable effort for the task from the date picker."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,tag a task (organize tasks into folders),"['tag', 'task', 'organ', 'task', 'into', 'folder']","When you tag a task, you're adding it to a Folder or Project and you can add a task to multiple Folders or Projects. Tag tasks to better organize your workflow and to make it eas ier for your team to find tasks they need. There are a few ways to tag a task: Drag the necessary Folder from the Folder tree onto a task. Click the ""+"" button under a task 's title in the Task iew and then choose the appropriate Folder he task is added to the Folder (in addition to any Folders it was previously in) and shared with the people with whom this Folder is shared  The names of all Folders the task appears in are displayed under the task's name (like tags). To tag multiple tasks at one time Switch to the List View. Click ""Mass Edit"" at the top of the List View. Click the checkmarks to the left of task names. Drag a Folder or Project tag from the Folder tree onto the task list."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,follow a task,"['follow', 'task']","Following a task is agreat way to stay up-to-datewith its changes and comments. If you follow a task, you see its updates in the Activity Stream and receive instant email notifications (if you have them enabled in your email notification settings). You can easily start to follow or unfollow any particular task in your Workspace andinvite other teammates to follow it. If you adda comment to a task or if you are mentioned after the @ symbol in a comment, you will automaticallystart following thattask. Task authors and assignees also follow their tasks by default Add Someone as a Follower Open a task. Click the ""Follow"" button in the task's upper right-hand corner. At the top of the panel, you'll see the avatars of the people who are currently following the task. Click the ""+"" button. Type the name of the person who should start following the task and choose their name from the list when it appears. The person you added is now following the task and will get an email notification about the change."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,unfollow a task,"['unfollow', 'task']","To stop following a task: Open a task. Click the Follow buttonin the task's upper right-hand corner. Click “Unfollow task” Please note, you will not be able to stop following a task if you are assigned to it. If you stop following a task you will not automatically stop following its subtasks, but you can repeat the above process for any subtasks you no longer want to follow. To remove someone else from following a task: Open a task. Click the Follow button in the task's upper right-hand corner. Hover over the person's avatar and click the 'x' that appears. The person is no longer following the task and will receive an email notification telling them about the change."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,print a task,"['print', 'task']","When you have a complicated task or want to discuss it at a face-to-face meeting, the hardcopy of the task containing its description and the activity stream might come in very handy. Just open the task, click on theMenubutton (the one with three dots) and choose"" Print "". A new browser tab will open with the standard print menu allowing you to print out the document or save it as a PDF or other preferred file type."
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,add dependencies to a task,"['add', 'depend', 'to', 'task']","Regular and External Users on all paid accounts can add dependencies to tasks. To add dependencies to task , simply add a previous task , search for the next task , and choose the type of dependency You can also draw dependencies on the Gantt Chart"
https://help.wrike.com/hc/en-us/articles/209603709-Tasks,How to,viewing tasks,"['view', 'task']","If you want to (or need to) you can view a task in full screen. To do this, click on the Menu icon in the task's upper right hand corner and then choose ""Enter full screen."" You can also choose toopenthe task in a different tab: click on the task's Menu button and then select ""Open task in separate tab""."
https://help.wrike.com/hc/en-us/articles/210323245-Subtasks,How to,important information,"['import', 'inform']","In some cases, Wrike asks if you want to align parent and subtask dates , but date alignment is optional, you can always schedule a subtask independently of the parent task’s scheduled dates and vice versa. Automatically complete all of a task's active subtasks by completing a parent task and clicking ""Yes"" on the pop-up that appears . Cancel or defer all active subtasks in the same way. Subtasks must have scheduled start and end dates in order to appear on the Gantt Chart"
https://help.wrike.com/hc/en-us/articles/210323245-Subtasks,How to,create a subtask,"['creat', 'a\xa0subtask']","Open the parent task where you would like to add a subtask. Click the “Add subtask” button (or “+ New task"" if there are existing subtasks) from the Task View panel. Enter a name for your subtask. Press Enter on your keyboard. Your subtask is instantly created and you can click on it to open it and begin editing it. A link to the subtask's parent taskis located immediately above the subtask's title inthe Task View."
https://help.wrike.com/hc/en-us/articles/210323245-Subtasks,How to,view a task's subtasks,"['view', 'task', 'subtask']","Onthe List View If a task has subtasks, you'll see an arrow to the left of a task's name. Click the arrowto expand or collapse the subtask list and see the names of all of the task’s subtasks. If a task doesn’t have any subtasks you will not see the subtask icon. On the Task View On the Task View, if a task doesn't have any subtasks then you will see the option toadd a subtasknear the top of the Task View. If a task does havesubtasks, then you will see a field (near the top of the Task View) indicating the number of subtasks the task has. Click on the task's subtask fieldto expand or collapse the list of the task's subtasks. Onthe Table View You will see a plus sign to the left of a task (if it has subtasks). Click the plus sign to see that task’s subtasks or click the minus sign to the left of a task’s name to hide the task’s subtasks. If subtasks have their own set of subtasks you will see these same icons appear next to the parent subtask. Onthe Gantt Chart Tasks with subtasks have a ""+"" sign to the left of their name in the Gantt Chart. Click the plus sign to show thetask’s subtasks on the timeline portion of the Gantt Chart. If a task's subtasks are displayed on the timeline, then you can click the ""-"" sign to the left of the parent task's name to hide the task’s subtasks. On the Workload View Subtasks and Tasks have the same appearance and features on the Workload View."
https://help.wrike.com/hc/en-us/articles/210323245-Subtasks,How to,edit subtasks,"['edit', 'subtask']","You can edit subtasks in the same way you would edit a regular task. When youopen asubtask you will be able to add assignees, share the subtask, set start and due dates, and more. You caneven give a subtask its own subtasks. You can also quickly edit subtasks from the Task and List Views. Edit Subtasks from the Task View Select a Folder or Project from the Folder tree and switch to the List View. Click the parent task where your subtask lives to open the Task View panel. Click on the subtask field to expand the task's subtask list (the subtask list may already be expanded when you open the task). From the subtask list: Right-click on a subtask. You'll see a menu with a list of edit options, the option to open the subtask in a separate tab, and to delete the subtask. Hover over a subtask. A calendar icon appears on the right side of the subtask's row. Click the icon to schedule or reschedule the subtask. Click an assignee's avatar (or the default assignee icon) and select an assignee from thedropdown. Edit Subtasksfrom the List View Select a Folder or Project from the Folder tree and switch to the List View. Click the arrow to the left of the parent task's name and: Right-click on a subtask. You'll see a menu with a list of edit options, the option to open the subtask in a separate tab, and to delete the subtask. Hover over a subtask. A calendar icon appears on the right side of the subtask's row. Click the icon to schedule or reschedule the subtask. Click an assignee's avatar (or the default assignee icon) and select an assignee from thedropdown."
https://help.wrike.com/hc/en-us/articles/210323245-Subtasks,How to,convert a task into a subtask,"['convert', 'task', 'into', 'subtask']","Drag and Drop within the List View Open the Folder or Project containing the task you want to convert and then switch to the List View. Click and hold the task you want to convert (from the List View panel). Drag the task you want to convert and drop it over the task where it should be a subtask. Add Subtask Field on the Task View Open the task where you wantto add atask as a subtask. Click “Add subtask” (or if there are already existing subtasks click “+ New task” at the bottom of the subtask list). Begin typing the name of the task you want to convert. Click the task name when it appears in the dropdown list. Quick Tip : You can also enter a task's permalink in the ""Add subtask"" field and click enter."
